question,options1,optios2,options3,options4,answer
A is as efficient as B and C together. Working together A and B can complete a work in 36 days and C alone can complete it in 60 days. A and C work together for 10 days. B alone will complete the remaining work in:,88 days,110 days,84 days,90 days,110 days
"Three pipes A, B can fill the tank in 12, 20 hrs respectively and C can empty the tank in 30 hours. If the pipes are opened alternatively for 1 hour starting with A and drain pipe is kept open all the time. How much time will it take to fill the tank.",12,30,15,20,30
A and B can do a work together in 18 days. A is three times as efficient as B. In how many days can B alone complete the work?,60 days,72 days,54 days,64 days,72 days
"A alone can do a piece of work in 15 days, while B alone can do it in 20 days. They work together for 6 days and the rest of the work is done by C in 6 days. If they get Rs 800 for the whole work, how should they divide the money?","Rs. 320, Rs. 240 and Rs. 240","Rs. 640, Rs. 280 and Rs. 260","Rs. 320, Rs. 420 and Rs. 360","Rs. 360, Rs. 420 and Rs. 240","Rs. 320, Rs. 240 and Rs. 240"
"The number of mainas and parrots in an aviary is in the ratio of (4x + 5) : 4x. If 25 mainas and 10 parrots are added to the aviary, then, the ratio would change to 5: 3. How many mainas are there in the aviary at initial?",20,30,35,25,25
"The cost of printing a book increased from Rs. 96 to Rs. 120 from the year 2013 to 2018, such that the total money spent on printing books by a printing press increased in the ratio 5 ∶ 6. If the printing press printed 200 books in the year 2013, how many books did they print in the year 2018?",176,192,216,252,192
There are 240 workers and an amount of Rs. 2880 is to be divided among them. The ratio of total amount received to men and women is 5 : 4 and the ratio of the amount given to each man and each woman is 5 : 8. Find the number of men.,120,140,160,180,160
"A and B started a business in partnership. The ratio between the investments of A and B was 5: 4. If A invested for 12 months and at the end of the year the ratio of prot was 15: 8, then for how much time B invested?",8 months,9 months,6 months,10 months,8 months
"4 years hence, the ratio of ages A and B will be 5: 7 and 6 years hence, the ratio of ages will be 11: 15, then and their present ages.","20 years, 26 years","16 years, 24 years","18 years, 28 years","12 years, 18 years","16 years, 24 years"
"if 50% of (x-y) =30% of (x+y), then what percentage of x is y?",25%,40%,400%,33.3333,25%
What percent of 3.6kg is 72 gms ?,32%,22%,12%,2%,2%
"A travels 25% faster than B. They started their journey from a point P to another point Q and reach at the same time on point Q. Distance between P and Q is 85 km. On the way, however, A lost about 20 minutes while stopping for petrol. What was the speed of B?",51 km/hr,50 km/hr,45 km/hr,None of these,51 km/hr
Speed of boat in still water is 9 km/hr. Stream speed initially is 2 km/hr but it increases by 3 km/hr after every hour. Find the time after which boat will come back to the position where it started.(in hour),5(5/8),5(3/8),4(3/4),None of these,5(5/8)
"Running at the speed of 3 km/hr., a person reaches his destination 10 minutes later than usual time. if he increases his speed by 1 km/hr., he reaches his destination 15 min earlier. and the distance to his destination.",10 km,12 km,5 km,4 km,5 km
A man can row 52 km upstream and 42 km downstream in 10 hours. It is also known that he can row 66 km downstream and 60 km upstream in 13 hours. Find the speed of the man in still water.,8 km/hr,12 km/hr,6 km/hr,10 km/h,10 km/h
"A sum of money amounts to 5,200 in 5 years and to 5,680 in 7 years at simple interest. The rate of interest per annum is-",3%,4%,5%,6%,6%
In how many years a sum of Rs. 3000 will yield an interest of Rs. 1080 at 12% per annum simple interest?,4 years,3 years,5 years,6 years,3 years
What annual instalment will discharge a debt of ₹ 6450 due in 4 years at 5% simple interest?,1500,1835,1935,1950,1500
Alipta got some amount of money from her father. In how many years will the ratio of the money and the interest obtained from it be 10:3 at the rate of 6% simple interest per annum?,7 years,3 years,5 years,4 years,5 years
The sum of money that will yield Rs. 60 as simple interest at the rate of 6% per annum in 5 years is-,200,225,175,300,200
"A dealer buys a table listed at Rs 1,500 and gets successive discounts of 20% and 10%. He spends Rs. 20 on transportation and sells it at a profit of 20%. The selling price of the table is",Rs.1320,Rs.1350,Rs.1360,Rs.1380,Rs.1320
A store sells a watch for a profit of 25% of the cost. Then the percentage of profit against selling price is-,22%,20%,18%,15%,20%
"If the profit on selling an article for Rs. 425 is the same as the loss on selling it for Rs. 355, then the cost price of the article is",Rs. 390,Rs. 380,Rs. 400,Rs. 440,Rs. 390
"By selling an article for Rs. 450, I lose 20%. For what price should I sell it to gain 20% ?",Rs. 562.50,Rs. 470,Rs. 490,Rs. 675,Rs. 675
There is 10% loss if an article is sold at Rs. 270. Then the cost price of the article is,Rs 320,Rs. 250,Rs. 300,Rs. 270,Rs 320
Three of the following four are alike in a certain way and they form a group. Which one is the one who does not join this group?,Barometer,Diameter,Thermometer,Lactometer,Diameter
"In the following question, select the odd word pair from the given alternatives.",Hanger : Aeroplane,Yard : Train,Depot : Bus,Scooter : Garage,Scooter : Garage
"Directions: In each of the following questions, select the related word from the given alternatives.  Q : Suggestion : Demand :: Take : ?",Gain,Gift,Give,Snatch,Snatch
"If A = 26 and TEA = 55, then SPATTER = ?",90,90,91,95,90
If COIL = 315912 and POLICE = 161512935 then PRICE = ?,1516824,1517824,1618935,1718935,1618935
"In a certain code language, ORBIT is written as LUYLQ. How will GRADUATE be written as in that language?",DQHDUXGR,DUXGRDQH,XGRDQHDU,HDURDQGR,DUXGRDQH
"In a certain code language, ‘JAN’ is written as ‘25’, ‘WED’ is written as ’32’. What is the code for ‘SEP’ in that code language?",38,40,39,36,40
If ‘DEAN’ is written as ‘NOKX’ then ‘NEED’ is written as :,NOOX,XONO,ONOX,XOON,XOON
Jayant introduces a man to his friend as his wife's father's son. The man is Jayant's _____,Brother-in-law,Sister-in-law,Father-in-law,Daughter-in-law,Brother-in-law
Sailu's mother is the daughter of Kalyan's sister. How is Kalyan's mother related to Sailu's mother?,Mother,Daughter,Sister,Grandmother,Grandmother
Leela introduces two girls to her friend as the daughters of the only sister of her father. Leela and the girls are ____.,Cousins,Friends,Nieces,Twins,Cousins
"A woman in a shopping complex walks 150 meter East, then she turns North and walks 180 meter, then she turns west and walks 70 meter, then she turns to her left and walks 180 meter. Where is she now with reference to her starting position?",180 meter,120 meter,80 meter,220 meter,80 meter
"Vikram started from point R and walked straight 7 km west, then turned left and walked 2 km and again turned left and walked straight 4 km. In which direction is he from R?",North-East,South-West,South-East,North-West,North-West
Rashmi is 14th from the right end in a row of 40 girls. What is her position from the left end?,25th,27th,Can’t be determined,None of these,27th
Savita correctly remembers that Rahul birthday was after Monday but before Friday. Sandeep correctly remembers that Rahul's birthday was after Tuesday but before Saturday. On which day of the week does Rahul's birthday definitely fall?,Wednesday,Thursday,Friday,Can't be determined,Can't be determined
Nikhilesh is taller than Arvind who is taller than Mahendra. Naresh is smaller than Suresh but taller than Nikhilesh. Who is the smallest?,Nikhilesh,Arvind,Mahendra,Data inadequate,Mahendra
Which two signs have to be interchanged to correct the given equation? 52 + 64 – 16 ÷ 36 × 6=20,÷ and +,– and ÷,× and ÷,#NAME?,× and ÷
Which two numbers have to be interchanged to correct the given equation? 55 + 32 – 4 × ( 1 × 12 ) + ( 16 ÷ 4 ) =31,16 and 32,55 and 32,12 and 32,12 and 16,16 and 32
Six friends are sitting a circle and are facing the centre of the circle. Deepa is between Prakash and Pankaj. Priti is between Mukesh and Lalit. Prakash and Mukesh are opposite to each other. Q : Who is sitting opposite to Priti?,Prakash,Deepa,Pankaj,Lalit,Deepa
"In the following question, from the given alternative words, select the word which can be formed using the letters of the given word. CAPITULATE",CAPABLE,TALE,PITTY,LUPIN,TALE
"In the following question, from the given alternative words, select the word which cannot be formed using the letters of the given word. Abandoned",Bonded,Banded,Bland,Bane,Bland
"A is son of B while B and C are the sisters to one another. D is the mother of C. If E is the son of D, which one of the following statements is correct?",C is the grandmother of A.,E is the maternal uncle of A.,D is aunt of A.,B is aunt of E.,E is the maternal uncle of A.
"If P ÷ Q means that P is the mother of Q, P × Q means that P is the father of Q, P – Q means that P is the sister of Q, then which of the following expression shows that A is the father of C?",B × A – C,A × B – C,A × B ÷ C,A – B × C,A × B – C
"If L × M means that L is the mother of M, L – M means that L is the father of M, L ÷ M means that L is the sister of M, then which of the following expression shows that P is the father of R?",Q – P × R,P – Q × R,P – Q ÷ R,R – P × Q,P – Q ÷ R
"If A + B means that A is the brother of B, A × B means that A is the sister of B, A ÷ B means that A is the father of B then which of the following expression shows that P is the brother of R?",P + Q ÷ R,P + Q × R,P × Q + R,P + R × Q,P + Q × R
"If A × B means that A is the father of B, A –B means that A is the mother of B, A ÷ B means that A is the brother of B then which of the following expression shows that P is the father of R?",P ÷ Q × R,P × Q ÷ R,P × Q – R,P × R ÷ Q,P × Q ÷ R
The boy ____ came to see me this morning had come from Agra.,which,who,that,whom,who
You _____ be mad if you think I’m going to lend you any more money.,might,should,ought to,must,must
"Having ______ in both government and private schools, Palak is the most suitable person to take over as the principal of the school.",works,working,worked,was working,worked
The rotten smell was so _________ that she became unconscious then and there and had to be hospitalized.,revolting,gratifying,captivating,unappealing,revolting
Single-use plastic refers to the entire class of items that are used once and then _____ of.,thought,excluded,abandoned,disposed,disposed
"Yesterday, the villagers caught a burglar _______ a bottle of oil from the community hall.",embezzling,frauding,swindling,pilfering,pilfering
"Right now, the concern is about banks not lowering their lending rates fast enough, ______ the repo rate has been coming down.",because,since,although,from,although
"Smoking will never be given up, _____ the tobacco industry thrives.",so that,as long as,though,as if,as long as
Are you looking forward ____ Akhil again?,seeing,to see,to be seeing,to seeing,to seeing
He _____ a lot of letters yesterday.,had written,had been writing,wrote,has written,wrote
"Banks should be left free to set their lending rates, in ______ with their cost of funds and market conditions, apart from borrower profile.",lending,meeting,settling,accordance,accordance
The police commissioner condemned the _________ murder and vowed to apprehend the wrongdoers within a fortnight.,grisly,gruesome,All of the above,ghastly,All of the above
The ________ apparition stalked Reshma for days and ultimately threw her off the cliff.,vindictive,benevolent,magnanimous,callous,vindictive
A heavy storm was forecast _____ the weather was clear.,but,because,unless,and,but
"If he had gone to Agra, he _____ the Taj Mahal.",have been seen,had been seen,saw,would have seen,would have seen
"It will make a bad economic situation marginally ______ and, perhaps, even create a black market in certain articles.",good,worse,better,weaker,worse
India’s problem is not the paucity of traffic rules and regulations but a general ______ for them.,insistence,absence,allocation,disregard,disregard
The Mekong is also home ______ the world’s largest catfish.,for,in,to,within,to
